"","X","U.1","U.2","U.3","U.4","U.5","U.6","cenRt","time","status","censoring","block"
"1911",1,0.144868659211317,-0.23950646524003,-0.439854911975961,-1.03199531575061,-0.635954567879491,-1.64262522871603,0.3995,1.55802510988631,1,1.69824082707055,1
"1807",0,-3.15881988235267,0.0561779177660962,-0.333723567333856,-1.52440199232367,-1.14030447473211,1.28305829235641,0.3995,0.0121296616271138,0,0.0121296616271138,1
"218",1,1.2642916185277,-1.94303604649442,-0.0132945520571335,-0.248240869945052,-0.780545181336678,-1.3794227428633,0.3995,0.607771100287482,1,0.762434802018106,1
"933",1,-0.296003791680987,0.566361560318318,0.162072546469518,0.136896107757609,1.63358883432458,-1.01314407215558,0.3995,0.398361555345925,1,1.46577116358094,1
"1150",1,0.957498253755794,0.918535191636138,-0.853683807725794,1.16086761777028,0.604358120506776,-0.580515182151178,0.3995,0.042249580033678,1,0.550390014890581,1
"1068",1,-0.958055264772537,-0.614807129004431,-0.648318799061644,-0.208707244944754,-0.730063481522562,-0.877713258430852,0.3995,1.2678676772708,1,1.93158649024554,1
"372",0,-1.39725290418448,-0.367256179049108,-1.52878117987625,-1.51375830376878,0.446100367536094,0.899732840677975,0.3995,2.5674491962418,0,2.5674491962418,1
"709",0,1.16470237077775,2.10844568238158,0.428859971572545,-0.304740406324954,-1.04416134140195,-0.560268523063974,0.3995,0.429142372682691,0,0.429142372682691,1
"787",1,1.07276417576878,-0.577367650389694,-0.296377022241291,-0.953246225554628,0.935938808453787,-0.989553182989644,0.3995,0.483909244950057,1,2.91785799572244,1
"30",0,0.0514670538943969,-0.607541848516409,0.429319923749935,1.25250298460242,0.973822605695365,-0.941555840904045,0.3995,0.240285489075989,1,0.961596699664369,1
"1601",0,-0.566124466244956,0.0197390346674976,0.484615558285603,-1.91019601349651,0.278168073871219,-1.06012370119143,0.3995,2.91197272343561,0,2.91197272343561,1
"1826",0,-2.34953301693841,0.623023784292628,-1.04054961065271,-0.747266520339287,0.607170987500664,0.0412496008232388,0.3995,1.16575582721271,0,1.16575582721271,1
"1054",1,0.961390038665066,1.22216481555307,-0.609497214540567,-0.723756294779234,0.368626128665101,-1.33649834950349,0.3995,0.441149337703475,1,2.01737130037509,1
"937",0,0.334852656779587,0.000873027553798079,-0.506227329761859,0.0103541795236911,-0.882986622445882,0.0708782334359958,0.3995,0.942353497692702,1,2.2147687592078,1
"1008",1,0.498959747646195,-0.608958100721756,-0.855609970478119,-1.23861254477757,-1.27196734959514,-0.666619390873117,0.3995,0.475236502151676,1,1.61840867414139,1
"1727",0,-0.888665784700269,0.868993283160065,0.923604087309091,-0.537867699943141,0.811652173771766,0.11969095217796,0.3995,0.433270379569105,1,2.79876986914314,1
"1191",1,-0.350817997888894,0.59854185290515,-0.301313742369901,-0.152130059224873,-0.0781959629138545,0.412424236184141,0.3995,0.293974074767902,0,0.293974074767902,1
"1449",1,0.194754786252736,-1.50614320234544,-0.228763613918812,2.08349818767116,0.637780359372679,0.554425465697227,0.3995,0.490019681799765,1,2.88807794661261,1
"1403",1,0.226705943706251,1.75286046224408,-0.55904665861357,-1.76676786084054,1.07827136858872,0.168533608443825,0.3995,0.500483460840433,1,2.81924118264578,1
"171",1,0.604855815180351,-0.174368600936494,-0.916949784571287,0.62906987189832,-0.245522213111269,-0.142844619082901,0.3995,0.561662301421165,0,0.561662301421165,1
"652",1,-0.029807092104043,0.545009844688688,-0.110550862696607,-1.68951433373089,-2.25696660951274,0.875762214999684,0.3995,1.62959461798891,0,1.62959461798891,1
"593",0,0.597587563722336,1.74521026587951,0.151771322398298,1.77496566134629,1.00482802328503,-0.472826491883067,0.3995,0.292522567233394,1,2.45653453445993,1
"1070",1,0.103960714321485,-0.968539160998541,1.12802003103821,2.72324673654856,-0.138599695379313,-0.509560244362948,0.3995,0.232483187575716,1,0.863022022414953,1
"1470",1,-1.18211485677943,-0.435680901105824,-0.326686900977264,0.0593205153336034,1.40096685005629,3.32917786714907,0.3995,0.55339064365125,1,0.593494076980278,1
"525",1,1.1931874056855,-0.47611608381854,1.49420524566217,0.0838472988828884,1.67718232408226,-0.84267255291324,0.3995,0.145028846953592,1,2.77594984788448,1
"1374",0,-0.210661182094677,-0.581703960606532,0.186932097873764,-0.494619929482737,0.0233029193805358,0.152630942089223,0.3995,0.80979916267097,0,0.80979916267097,1
"1599",1,1.13340354213762,-1.23929144491237,1.63124111555198,0.386161482685329,-0.247397082684814,-1.16287350899287,0.3995,0.815971243442983,1,2.99223717721179,1
"248",1,-0.046701540698072,1.30230586402616,-0.255862747253669,0.408798442282072,0.938455808981925,0.0623324695970319,0.3995,0.189898429866766,1,2.64712412282825,1
"688",1,0.539083171267067,-0.242506197886446,-1.30323856325991,-0.122722871713986,-0.307743013516906,0.370979352931498,0.3995,0.444043863864354,1,2.2888151910156,1
"187",0,-0.407995651817105,0.764845008483461,1.02420845375782,-0.325470908276933,1.07223370063912,0.105061166381495,0.3995,0.611594458143251,1,0.911891802214086,1
"50",0,0.515249949076504,0.222987412977055,0.535233479514371,-0.337419215205767,-0.622443241531166,0.588350391341228,0.3995,2.15047138044611,0,2.15047138044611,1
"1629",1,1.35829727951229,0.510456267054672,-0.454739201638137,0.558007688177201,-1.21590353379753,-1.91244660003078,0.3995,0.99201272070327,1,1.83210021117702,1
